cycle,legislation,session_number,session_title,session_date,link_to_session
10,2,46,Reunião N.º 46 (07/02/2007),07/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/46
10,2,45,Reunião N.º 45 (02/02/2007),02/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/45
10,2,44,Reunião N.º 44 (01/02/2007),01/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/44
10,2,43,Reunião N.º 43 (31/01/2007),31/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/43
10,2,42,Reunião N.º 42 (26/01/2007),26/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/42
10,2,41,Reunião N.º 41 (25/01/2007),25/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/41
10,2,40,Reunião N.º 40 (24/01/2007),24/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/40
10,2,39,Reunião N.º 39 (19/01/2007),19/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/39
10,2,38,Reunião N.º 38 (18/01/2007),18/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/38
10,2,37,Reunião N.º 37 (17/01/2007),17/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/37
10,2,36,Reunião N.º 36 (12/01/2007),12/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/36
10,2,35,Reunião N.º 35 (11/01/2007),11/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/35
10,2,34,Reunião N.º 34 (10/01/2007),10/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/34
10,2,33,Reunião N.º 33 (05/01/2007),05/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/33
10,2,32,Reunião N.º 32 (04/01/2007),04/01/2007,https://av.parlamento.pt/videos/Plenary/10/2/32
10,2,31,Reunião N.º 31 (21/12/2006),21/12/2006,https://av.parlamento.pt/videos/Plenary/10/2/31
10,2,30,Reunião N.º 30 (20/12/2006),20/12/2006,https://av.parlamento.pt/videos/Plenary/10/2/30
10,2,29,Reunião N.º 29 (19/12/2006),19/12/2006,https://av.parlamento.pt/videos/Plenary/10/2/29
10,2,28,Reunião N.º 28 (15/12/2006),15/12/2006,https://av.parlamento.pt/videos/Plenary/10/2/28
10,2,27,Reunião N.º 27 (14/12/2006),14/12/2006,https://av.parlamento.pt/videos/Plenary/10/2/27
10,2,26,Reunião N.º 26 (13/12/2006),13/12/2006,https://av.parlamento.pt/videos/Plenary/10/2/26
10,2,25,Reunião N.º 25 (07/12/2006),07/12/2006,https://av.parlamento.pt/videos/Plenary/10/2/25
10,2,24,Reunião N.º 24 (30/11/2006),30/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/24
10,2,23,Reunião N.º 23 (29/11/2006),29/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/23
10,2,22,Reunião N.º 22 (23/11/2006),23/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/22
10,2,21,Reunião N.º 21 (16/11/2006),16/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/21
10,2,20,Reunião N.º 20 (15/11/2006),15/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/20
10,2,19,Reunião N.º 19 (09/11/2006),09/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/19
10,2,18,Reunião N.º 18 (08/11/2006),08/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/18
10,2,17,Reunião N.º 17 (07/11/2006),07/11/2006,https://av.parlamento.pt/videos/Plenary/10/2/17
