transcript_id,processed_transcript_text_link,title
slovenia_2022_12_redna_0_18092023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=206EFCE787782462C1258A32004AA342,12. redna seja Državnega zbora
slovenia_2022_12_redna_1_19092023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=E78254E38C4510CCC1258A7D002A029B,12. redna seja Državnega zbora
slovenia_2022_12_redna_2_20092023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=F73EBF40CE0AA780C1258A9E00535528,12. redna seja Državnega zbora
slovenia_2022_12_redna_3_21092023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=5C45F180F1282EEDC1258A9F005266C8,12. redna seja Državnega zbora
slovenia_2022_12_redna_4_22092023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=16AD58888138BE67C1258AEF0044C009,12. redna seja Državnega zbora
slovenia_2022_47_izredna_0_01092023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=917927F140F0740AC1258A2E003C1B4A,47. izredna seja Državnega zbora
slovenia_2022_46_izredna_0_31082023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=319AED7A2AA92C57C1258A1C0028F249,46. izredna seja Državnega zbora
slovenia_2022_45_izredna_0_10082023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=0A001635D6C2EDAFC1258A1A004D6C6A,45. izredna seja Državnega zbora
slovenia_2022_44_izredna_0_09082023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=3CD72E8E88245B0DC1258A06004EFAE4,44. izredna seja Državnega zbora
slovenia_2022_43_izredna_0_21072023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=7BD8F99BE1A86A58C1258A75004954FB,43. izredna seja Državnega zbora
slovenia_2022_42_izredna_0_13072023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=3BB1B44882262E2DC1258A750048A89C,42. izredna seja Državnega zbora
slovenia_2022_42_izredna_1_17072023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=9DC8CB4C44718C63C12589EF002D61B9,42. izredna seja Državnega zbora
slovenia_2022_41_izredna_0_06072023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=7E276E0DDEAD2D55C12589E4003293B0,41. izredna seja Državnega zbora
