video_id,mp4_video_link,title
serbia_2012_103_30082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083015b.mp4,Шеста посебна седница Народне скупштине Републике Србије у 2013. години 30.08.2013. други део премијер Владе Ивица Дачић
serbia_2012_104_30082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083015a.mp4,Шеста посебна седница Народне скупштине Републике Србије у 2013. години 30.08.2013. први део
serbia_2012_105_29082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082910c.mp4,Дан за гласање о јединој тачки дневног реда Једанаестог ванредног заседања Народне скупштине Републике Србије у 2013. години 29.08.2013.
serbia_2012_106_26082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082910b.mp4,Једанаесто ванредно заседање Народне скупштине Републике Србије у 2013. години 26.08.2013.
serbia_2012_107_29082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082910a.mp4,Дан за гласање о јединој тачки дневног реда Десетог ванредног заседања Народне скупштине Републике Србије у 2013. години 29.08.2013.
serbia_2012_108_28082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082812c.mp4,наставак Десетог ванредног заседања Народне скупштине Републике Србије у 2013. години 28.08.2013. трећи део
serbia_2012_109_28082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082812b.mp4,наставак Десетог ванредног заседања Народне скупштине Републике Србије у 2013. години 28.08.2013. други део
serbia_2012_110_28082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082812a.mp4,наставак Десетог ванредног заседања Народне скупштине Републике Србије у 2013. години 28.08.2013. први део
serbia_2012_111_26082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082611b.mp4,Десето ванредно заседање Народне скупштине Републике Србије у 2013. години 26.08.2013. други део
serbia_2012_112_26082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013082611a.mp4,Десето ванредно заседање Народне скупштине Републике Србије у 2013. години 26.08.2013. први део
serbia_2012_113_25072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013072511.mp4,Дан за гласање о тачкама дневног реда Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 25.07.2013.
serbia_2012_114_24072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013072410a.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 24.07.2013. други део
serbia_2012_115_24072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013072410.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 24.07.2013. први део
serbia_2012_116_22072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013072210a.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 22.07.2013. други део
serbia_2012_117_22072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013072210.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 22.07.2013. први део
serbia_2012_118_18072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071811b.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 18.07.2013. други део
