transcript_id,processed_transcript_text_link,transcript_title,date,,video_id,mp4_video_link,video_title,merged_id
serbia_2016_55_05122019,https://otvoreniparlament.rs/transkript/7741,Sedma sednica Drugog redovnog zasedanja,05122019,,serbia_2016_211_05122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120510b.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 05.12.2019.,serbia_2016_55_05122019_serbia_2016_211_05122019
serbia_2016_55_05122019,https://otvoreniparlament.rs/transkript/7741,Sedma sednica Drugog redovnog zasedanja,05122019,,serbia_2016_212_05122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120510a.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 05.12.2019.,serbia_2016_55_05122019_serbia_2016_212_05122019
serbia_2016_55_05122019,https://otvoreniparlament.rs/transkript/7741,Sedma sednica Drugog redovnog zasedanja,05122019,,serbia_2016_213_05122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120510.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 05.12.2019.,serbia_2016_55_05122019_serbia_2016_213_05122019
serbia_2016_56_04122019,https://otvoreniparlament.rs/transkript/7740,Sedma sednica Drugog redovnog zasedanja,04122019,,serbia_2016_214_04122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120410c.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 04.12.2019.,serbia_2016_56_04122019_serbia_2016_214_04122019
serbia_2016_56_04122019,https://otvoreniparlament.rs/transkript/7740,Sedma sednica Drugog redovnog zasedanja,04122019,,serbia_2016_215_04122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120410b.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 04.12.2019.,serbia_2016_56_04122019_serbia_2016_215_04122019
serbia_2016_56_04122019,https://otvoreniparlament.rs/transkript/7740,Sedma sednica Drugog redovnog zasedanja,04122019,,serbia_2016_216_04122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120410a.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 04.12.2019.,serbia_2016_56_04122019_serbia_2016_216_04122019
serbia_2016_56_04122019,https://otvoreniparlament.rs/transkript/7740,Sedma sednica Drugog redovnog zasedanja,04122019,,serbia_2016_217_04122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120410.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 04.12.2019.,serbia_2016_56_04122019_serbia_2016_217_04122019
serbia_2016_57_03122019,https://otvoreniparlament.rs/transkript/7739,Dvadeset osma posebna sednica,03122019,,serbia_2016_218_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310c.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_57_03122019_serbia_2016_218_03122019
serbia_2016_57_03122019,https://otvoreniparlament.rs/transkript/7739,Dvadeset osma posebna sednica,03122019,,serbia_2016_219_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310b.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_57_03122019_serbia_2016_219_03122019
serbia_2016_57_03122019,https://otvoreniparlament.rs/transkript/7739,Dvadeset osma posebna sednica,03122019,,serbia_2016_220_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120314.mp4,Двадесет осма Посебна седница Народне скупштине Републике Србије у Једанаестом сазиву 03.12.2019.,serbia_2016_57_03122019_serbia_2016_220_03122019
serbia_2016_57_03122019,https://otvoreniparlament.rs/transkript/7739,Dvadeset osma posebna sednica,03122019,,serbia_2016_221_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310a.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_57_03122019_serbia_2016_221_03122019
serbia_2016_57_03122019,https://otvoreniparlament.rs/transkript/7739,Dvadeset osma posebna sednica,03122019,,serbia_2016_222_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_57_03122019_serbia_2016_222_03122019
serbia_2016_58_03122019,https://otvoreniparlament.rs/transkript/7738,Sedma sednica Drugog redovnog zasedanja,03122019,,serbia_2016_218_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310c.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_58_03122019_serbia_2016_218_03122019
serbia_2016_58_03122019,https://otvoreniparlament.rs/transkript/7738,Sedma sednica Drugog redovnog zasedanja,03122019,,serbia_2016_219_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310b.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_58_03122019_serbia_2016_219_03122019
serbia_2016_58_03122019,https://otvoreniparlament.rs/transkript/7738,Sedma sednica Drugog redovnog zasedanja,03122019,,serbia_2016_220_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120314.mp4,Двадесет осма Посебна седница Народне скупштине Републике Србије у Једанаестом сазиву 03.12.2019.,serbia_2016_58_03122019_serbia_2016_220_03122019
serbia_2016_58_03122019,https://otvoreniparlament.rs/transkript/7738,Sedma sednica Drugog redovnog zasedanja,03122019,,serbia_2016_221_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310a.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_58_03122019_serbia_2016_221_03122019
serbia_2016_58_03122019,https://otvoreniparlament.rs/transkript/7738,Sedma sednica Drugog redovnog zasedanja,03122019,,serbia_2016_222_03122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120310.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 03.12.2019.,serbia_2016_58_03122019_serbia_2016_222_03122019
