transcript_link,date,youtube_link
/et/202205311000,2022-05-31 10:00:00,https://www.youtube.com/watch?v=O6vjR7lrWUs
/et/202206011200,2022-06-01 12:00:00,https://www.youtube.com/watch?v=juMSrg8rP5k
/et/202206011400,2022-06-01 14:00:00,https://www.youtube.com/watch?v=1lJiuiSbhfY
/et/202206021000,2022-06-02 10:00:00,https://www.youtube.com/watch?v=lLLBIw8R3ss
/et/202206061500,2022-06-06 15:00:00,https://www.youtube.com/watch?v=IiHoaXCjkyc
/et/202206071000,2022-06-07 10:00:00,https://www.youtube.com/watch?v=9GVWuieb6MU
/et/202206081200,2022-06-08 12:00:00,https://www.youtube.com/watch?v=nepNeQNmPXo
/et/202206081400,2022-06-08 14:00:00,https://www.youtube.com/watch?v=zfS7XPdDgdU
/et/202206091000,2022-06-09 10:00:00,https://www.youtube.com/watch?v=aLMdTgjOmdM
/et/202206131500,2022-06-13 15:00:00,https://www.youtube.com/watch?v=Vqb5UIAfhHQ
/et/202206141000,2022-06-14 10:00:00,https://www.youtube.com/watch?v=PjKAk-tTZqQ
/et/202206151200,2022-06-15 12:00:00,https://www.youtube.com/watch?v=PF0xHwPccNc
/et/202206151400,2022-06-15 14:00:00,https://www.youtube.com/watch?v=GExHEGk8IYU
/et/202206161000,2022-06-16 10:00:00,https://www.youtube.com/watch?v=-7E-C73qJYM
/et/202206161045,2022-06-16 10:45:00,https://www.youtube.com/watch?v=6jknhH9z_pQ
/et/202206170900,2022-06-17 09:00:00,
/et/202207061200,2022-07-06 12:00:00,https://www.youtube.com/watch?v=i-fSQGELAHQ
/et/202207061530,2022-07-06 15:30:00,
/et/202207150900,2022-07-15 09:00:00,https://www.youtube.com/watch?v=UnSXQuzLCQo
/et/202207151007,2022-07-15 10:07:00,https://www.youtube.com/watch?v=iMObPjgogiY
/et/202207181500,2022-07-18 15:00:00,https://www.youtube.com/watch?v=ABioF5yc6Ug
/et/202207190900,2022-07-19 09:00:00,https://www.youtube.com/watch?v=1RmdkkHegN0
/et/202208311600,2022-08-31 16:00:00,https://www.youtube.com/watch?v=dCZ_JLWAw88
/et/202209121500,2022-09-12 15:00:00,https://www.youtube.com/watch?v=IcrFR-k8RsM
/et/202209131000,2022-09-13 10:00:00,https://www.youtube.com/watch?v=eBav4_EuP9s
/et/202209141200,2022-09-14 12:00:00,https://www.youtube.com/watch?v=HrD3oFXqRYQ
/et/202209141400,2022-09-14 14:00:00,https://www.youtube.com/watch?v=z7Sdvq1_FbQ
