convocation,session,order_no,transcript_url,recording_url
XI,1,15,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016704,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21284
XI,1,14,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016703,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21282
XI,1,13,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016701,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21281
XI,1,12,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016700,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21280
XI,1,11,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016699,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21279
XI,1,10,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016688,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21278
XI,1,9,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016687,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21277
XI,1,8,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016686,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21273
XI,1,7,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016684,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21272
XI,1,6,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016683,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21271
XI,1,5,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016682,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21247
XI,1,4,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016681,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21246
XI,1,3,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016680,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21245
XI,1,2,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016679,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21244
XI,1,1,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016678,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21243
XI,1,-,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016677,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21241
X,21,93,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016674,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21137
X,21,92,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016673,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21139
X,21,91,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016672,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21227
X,21,90,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016671,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21228
X,21,89,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016670,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21226
X,21,88,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016669,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21233
X,21,87,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016668,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21222
X,21,86,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016667,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=20967
X,21,85,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016666,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21202
X,21,84,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016665,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21225
X,21,83,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016664,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21217
X,21,82,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016663,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21221
X,21,81,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016662,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21219
X,21,80,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016661,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21224
X,21,79,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016660,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21223
X,21,78,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016659,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21218
X,21,77,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016658,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21176
X,21,76,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016657,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21194
X,21,75,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016656,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21193
X,21,74,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016655,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21158
X,21,73,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016654,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21206
X,21,72,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016653,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21205
X,21,71,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016652,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21214
